material_name,cost_per_kg,carbon_factor_kg_co2_per_kg,notes
Aluminum,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 1100-H14,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 1100-H18,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 1100-O,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 2014-T4,480,9.5,"Aluminum (aerospace/high-strength grades, e.g. 2014, 7075, 7175, A356 cast)"
Aluminum 2014-T6,480,9.5,"Aluminum (aerospace/high-strength grades, e.g. 2014, 7075, 7175, A356 cast)"
Aluminum 3003-H12,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 3003-H14,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 3003-H16,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 3003-O,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 3004-H32,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 3004-H34,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 3004-H38,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 3004-O,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 3105-H12,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 3105-H14,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 3105-H16,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 3105-H18,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 3105-O,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 5005,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 5005-H12,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 5005-H14,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 5005-H16,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 5005-H18,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 5005-H38,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 5005-O,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 5052,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 5052 H32,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 5052 H34,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 5052-H36,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 5052-H38,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 5052-O,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 5083 87 Cold Formed,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 6061,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 6061 T6 0 Cold Formed,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
Aluminum 6061 T6 80 Hot Formed,300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
"Aluminum 6061, Welded",300,8.24,"Aluminum (general wrought grades, 1xxx/3xxx/5xxx/6xxx series, incl. anodized)"
